10,100
10,99
10,99
10,99
10,98
10,100
10,101
10,100
10,99
10,100
10,100
10,101
10,104
10,105
10,106
10,106
10,108
10,108
10,108
10,110
10,111
10,111
10,111
10,111
10,113
10,115
10,114
10,114
8,114
8,114
8,114
8,114
8,115
8,116
8,118
8,122
7,122
7,121
7,122
6,123
6,123
6,123
6,123
6,125
6,128
6,128
6,130
6,130
6,130
7,132
7,133
7,134
7,136
7,137
7,138
7,138
7,139
7,141
7,143
7,145
7,147
7,145
7,149
7,147
7,148
7,146
7,144
7,141
7,140
7,141
7,139
7,138
7,138
7,135
7,135
8,132
8,130
8,127
8,122
8,124
8,122
8,121
8,120
8,120
8,116
8,118
9,119
11,121
11,119
11,116
11,114
11,114
11,116
11,114
11,111
11,108
11,107
11,105
11,104
11,102
11,99
11,100
10,98
9,98
9,98
9,98
9,97
9,97
9,97
9,99
9,97
11,96
11,96
11,94
10,96
10,96
10,96
10,96
13,95
13,96
13,93
12,92
12,92
12,94
12,93
12,92
12,91
12,92
12,90
12,91
12,91
12,92
13,89
13,88
13,87
13,85
13,83
13,84
13,84
13,85
14,83
14,83
14,86
14,86
14,85
14,83
13,83
13,80
13,80
13,78
12,80
12,80
12,82
11,81
11,82
10,81
10,83
10,81
10,82
10,82
12,82
12,80
12,76
12,73
12,71
12,69
12,68
12,70
12,67
13,68
13,68
13,66
12,66
12,66
12,66
11,66
10,66
10,66
10,65
10,64
10,62
9,62
9,63
9,64
8,63
8,64
8,65
8,65
8,62
8,63
8,63
8,63
8,62
6,58
6,58
6,57
5,57
5,57
5,56
5,56
4,56
4,55
4,55
4,56
4,56
4,56
4,56
4,54
4,53
4,53
3,55
3,57
3,58
3,58
3,58
3,56
3,55
3,56
3,56
3,56
1,56
1,59
1,60
1,60
1,58
1,58
1,58
1,58
1,58
1,58
1,58
1,58
1,56
1,56
1,58
1,58
1,58
1,61
1,60
1,59
1,59
1,59
1,60
0,60
